W3ID ,Target URL,Comment,Implementation,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/zip,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/zip,zip individual,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/tarxz,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/tarxz,tarxz individual,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/targz,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/targz,targz individual,,,,,,,,,,,,,,,,,,,,,
CC,,,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/cc,https://kg-construct.github.io/rml-cc/ontology/documentation/index-en.html,CC ontology documentation,"Redirect to the ontology documentation for RML Collections and Containers if HTML, return ontology if Turtle",,,,,,,,,,,,,,,,,,,,
w3id.org/rml/cc/spec,https://kg-construct.github.io/rml-cc/spec/docs,CC spec,Redirect to the human readable spec of RML Collections and Containers,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/cc/shapes,https://kg-construct.github.io/rml-cc/shapes/cc.ttl,CC SHACL shapes,,https://kg-construct.github.io/rml-io/shapes/io.ttl,IO SHACL shapes,w3id.org/rml/io/shapes,https://kg-construct.github.io/rml-io/shapes/io.ttl,IO SHACL shapes,w3id.org/rml/io/shapes,https://kg-construct.github.io/rml-io/shapes/io.ttl,IO SHACL shapes,w3id.org/rml/io/shapes,https://kg-construct.github.io/rml-io/shapes/io.ttl,IO SHACL shapes,w3id.org/rml/io/shapes,https://kg-construct.github.io/rml-io/shapes/io.ttl,IO SHACL shapes,w3id.org/rml/io/shapes,https://kg-construct.github.io/rml-io/shapes/io.ttl,IO SHACL shapes,w3id.org/rml/io/shapes,https://kg-construct.github.io/rml-io/shapes/io.ttl,IO SHACL shapes
w3id.org/rml/gatherAs,https://kg-construct.github.io/rml-io-spec/ontology/documentation/index-en.html#http://w3id.org/rml/gatherAs,Property gatherAs,Redirect to the ontology documentation of the RML Collections and Containers specification with the fragment matching the resource requested.,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/allowEmptyListAndContainer,https://kg-construct.github.io/rml-io-spec/ontology/documentation/index-en.html#http://w3id.org/rml/allowEmptyListAndContainer,Property allowEmptyListAndContainer,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/gather,https://kg-construct.github.io/rml-io-spec/ontology/documentation/index-en.html#http://w3id.org/rml/gather,Property gather,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/GatherMap,https://kg-construct.github.io/rml-io-spec/ontology/documentation/index-en.html#http://w3id.org/rml/GatherMap,Resource GatherMap,,,,,,,,,,,,,,,,,,,,,
FNML,,,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/fnml,https://kg-construct.github.io/rml-fnml/ontology/documentation/index-en.html,FNML ontology documentation,"Redirect to the ontology documentation for RML FNML if HTML, return ontology if Turtle",,,,,,,,,,,,,,,,,,,,
w3id.org/rml/fnml/spec,https://kg-construct.github.io/rml-fnml/spec/docs,FNML spec,Redirect to the human readable spec of RML FNML,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/fnml/shapes,https://kg-construct.github.io/rml-fnml/shapes/fnml.ttl,IO SHACL shapes,w3id.org/rml/io/shapes,https://kg-construct.github.io/rml-io/shapes/io.ttl,IO SHACL shapes,w3id.org/rml/io/shapes,https://kg-construct.github.io/rml-io/shapes/io.ttl,IO SHACL shapes,w3id.org/rml/io/shapes,https://kg-construct.github.io/rml-io/shapes/io.ttl,IO SHACL shapes,w3id.org/rml/io/shapes,https://kg-construct.github.io/rml-io/shapes/io.ttl,IO SHACL shapes,w3id.org/rml/io/shapes,https://kg-construct.github.io/rml-io/shapes/io.ttl,IO SHACL shapes,w3id.org/rml/io/shapes,https://kg-construct.github.io/rml-io/shapes/io.ttl,IO SHACL shapes,w3id.org/rml/io/shapes,https://kg-construct.github.io/rml-io/shapes/io.ttl,IO SHACL shapes
w3id.org/rml/returnMap,https://kg-construct.github.io/rml-fnml/ontology/documentation/index-en.html#http://w3id.org/rml/returnMap,Property returnMap,Redirect to the ontology documentation of the RML FNML specification with the fragment matching the resource requested.,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/functionExecution,https://kg-construct.github.io/rml-fnml/ontology/documentation/index-en.html#http://w3id.org/rml/functionExecution,Property functionExecution,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/input,https://kg-construct.github.io/rml-fnml/ontology/documentation/index-en.html#http://w3id.org/rml/input,Property input,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/functionMap,https://kg-construct.github.io/rml-fnml/ontology/documentation/index-en.html#http://w3id.org/rml/functionMap,Property functionMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/parameterMap,https://kg-construct.github.io/rml-fnml/ontology/documentation/index-en.html#http://w3id.org/rml/parameterMap,Property parameterMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/function,https://kg-construct.github.io/rml-fnml/ontology/documentation/index-en.html#w3id.org/rml/function,Property function,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/parameter,https://kg-construct.github.io/rml-fnml/ontology/documentation/index-en.html#w3id.org/rml/parameter,Property parameter,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/return,https://kg-construct.github.io/rml-fnml/ontology/documentation/index-en.html#w3id.org/rml/return,Property return,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/inputValueMap,https://kg-construct.github.io/rml-fnml/ontology/documentation/index-en.html#w3id.org/rml/inputValueMap,Property inputValueMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/inputValue,https://kg-construct.github.io/rml-fnml/ontology/documentation/index-en.html#w3id.org/rml/inputValue,Property inputValue,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/ReturnMap,https://kg-construct.github.io/rml-fnml/ontology/documentation/index-en.html#http://w3id.org/rml/ReturnMap,Resource ReturnMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/FunctionExecution,https://kg-construct.github.io/rml-fnml/ontology/documentation/index-en.html#http://w3id.org/rml/FunctionExecution,Resource FunctionExecution,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/Input,https://kg-construct.github.io/rml-fnml/ontology/documentation/index-en.html#http://w3id.org/rml/Input,Resource Input,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/ParameterMap,https://kg-construct.github.io/rml-fnml/ontology/documentation/index-en.html#http://w3id.org/rml/ParameterMap,Resource ParameterMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/FunctionMap,https://kg-construct.github.io/rml-fnml/ontology/documentation/index-en.html#w3id.org/rml/FunctionMap,Resource FunctionMap,,,,,,,,,,,,,,,,,,,,,
EDITOR,,,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/editor/eval17,https://w3id.org/rml/editor/eval17,RML Editor paper resources,"Unrelated, but we can't break old existing redirections",,,,,,,,,,,,,,,,,,,,
